era,release_date,set_name,set_code,card_number,edition,variant,language,japanese_name,english_name,category,artwork_reason,artwork_evidence_urls,stamps_reason,stamps_evidence_urls,canonical_image_url,card_uid
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,フリーザー,Articuno,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/470961 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/429ea4c2-1708-4301-bb04-7d128d5ae966.jpg,429ea4c2-1708-4301-bb04-7d128d5ae966
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,キレイハナ,Bellossom,artwork,These exact Japanese distribution promos use card artwork whose individual histories establish no official English-language physical release.,https://bulbapedia.bulbagarden.net/wiki/Bellossom_%28Information_Pack_promo%29 | https://snkrdunk.com/apparels/470993,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/6fcae01a-ec87-4766-957a-1c76cb5249ea.jpg,6fcae01a-ec87-4766-957a-1c76cb5249ea
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,フシギダネ,Bulbasaur,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/93363 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617217.jpg,c67662ae-cc08-4241-9ed9-c99a317dd72e
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ラッキー,Chansey,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/470960 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/312f0965-af9d-40be-95b9-32113114b750.jpg,312f0965-af9d-40be-95b9-32113114b750
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ヒトカゲ,Charmander,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/470962 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/78d08448-bf85-4952-a9ec-5ce9eddc776e.jpg,78d08448-bf85-4952-a9ec-5ce9eddc776e
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,カラカラ,Cubone,artwork,These exact Japanese distribution promos use card artwork whose individual histories establish no official English-language physical release.,https://bulbapedia.bulbagarden.net/wiki/Cubone_%28CoroCoro_promo%29 | https://snkrdunk.com/apparels/467424,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617222.jpg,14c4436e-8e0d-4ecb-817e-818c5bd1902d
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,わるいオニドリル,Dark Fearow,artwork,These exact Game Boy and GB2 promotional printings use artwork released only with their Japanese games or guidebooks.,https://bulbapedia.bulbagarden.net/wiki/Dark_Fearow_%28Pok%C3%A9mon_Card_GB2_promo%29 | https://snkrdunk.com/apparels/92100,,,https://psusriuihkriqvzbzmmc.supabase.co/storage/v1/object/public/card-images/pokemon/0acf21c6-ed66-49c8-90c5-45a6bf739856/user_1784423927282.webp,0acf21c6-ed66-49c8-90c5-45a6bf739856
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ディグダ,Diglett,artwork,These exact Japanese distribution promos use card artwork whose individual histories establish no official English-language physical release.,https://bulbapedia.bulbagarden.net/wiki/Diglett_%28Asobikata_promo%29 | https://snkrdunk.com/apparels/467844,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/9d762e6b-a2d0-4f79-b052-4c8c7fc210cc.jpg,9d762e6b-a2d0-4f79-b052-4c8c7fc210cc
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,カイリュー,Dragonite (Pokemon TCG Game Boy Game),artwork,These exact Game Boy and GB2 promotional printings use artwork released only with their Japanese games or guidebooks.,https://bulbapedia.bulbagarden.net/wiki/Dragonite_%28Pok%C3%A9mon_Card_GB_promo%29 | https://snkrdunk.com/apparels/92134,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617417.jpg,b2ea1f35-96a3-41b4-ace1-f31ac4761069
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,GR団のミュウツー,Great Rocket's Mewtwo,artwork,These exact Game Boy and GB2 promotional printings use artwork released only with their Japanese games or guidebooks.,https://bulbapedia.bulbagarden.net/wiki/Team_GR%27s_Mewtwo_%28Pok%C3%A9mon_Card_GB2_promo%29 | https://snkrdunk.com/apparels/92096,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/bc66d172-434a-47f5-b054-a277a80249fb.jpg,bc66d172-434a-47f5-b054-a277a80249fb
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ギャラドス,Gyarados,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/93360 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617228.jpg,a83d5f83-fe18-45b0-a67b-3f318ac196e2
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,くいしんぼカビゴン,Hungry Snorlax,artwork,Hungry Snorlax uses the Japanese Nintendo 64 campaign composition never issued as a non-Japanese card.,https://bulbapedia.bulbagarden.net/wiki/Hungry_Snorlax_%28Nintendo_64_promo%29 | https://pokumon.com/card/hungry-snorlax-nintendo-64-campaign-pokemon-song-best-collection-cd-1997-unnumbered/,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617421.jpg,7f68c2f7-bc3a-4de0-9503-e18278f846c4
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ルージュラ,Jynx,artwork,This unnumbered Jynx uses the Japanese 1998 CoroCoro illustration never issued as a non-Japanese card.,https://bulbapedia.bulbagarden.net/wiki/Jynx_%28CoroCoro_promo%29 | https://pokumon.com/card/jynx-corocoro-1998-unnumbered/,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617232.jpg,be8e4a7d-7ae7-4bab-a032-a695ee6f8a79
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ドガース,Koffing,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/470959 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/42f45da8-4c89-4f1c-b560-ce5b5a45db80.jpg,42f45da8-4c89-4f1c-b560-ce5b5a45db80
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ルギア,Lugia,artwork,These exact Game Boy and GB2 promotional printings use artwork released only with their Japanese games or guidebooks.,https://bulbapedia.bulbagarden.net/wiki/Lugia_%28Pok%C3%A9mon_Card_GB2_promo%29 | https://snkrdunk.com/apparels/92097,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/8480bb62-0d02-417c-965d-6f4912dce704/snkrdunk.webp,8480bb62-0d02-417c-965d-6f4912dce704
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,コイキング,Magikarp,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/93355 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617237.jpg,5da6915f-05ce-43b8-9b60-dec409173050
